title,year,length,budget,rating,mpaa,genres
Beauty Shop,2005,104,NA,4.6,PG-13,comedy
Because of Winn-Dixie,2005,106,14000000,5.9,PG,"drama, comedy"
Before Sunset,2004,80,10000000,8.3,R,"drama, romance"
Behind Enemy Lines,2001,106,40000000,6.1,PG-13,"action, drama"
Behind the Red Door,2002,105,NA,7,R,drama
Being Julia,2004,104,18000000,7.2,R,"drama, comedy"
"Believer, The",2001,98,NA,7.3,R,drama
Bella Martha,2001,109,NA,7.4,PG,"drama, comedy, romance"
Belly of the Beast,2003,91,18000000,4.2,R,action
Bend It Like Beckham,2002,115,NA,7.3,PG-13,"drama, comedy, romance"
Beneath Loch Ness,2001,96,NA,2.7,PG-13,action
Benji: Off the Leash!,2004,97,NA,4.7,PG,drama
Bereft,2004,98,NA,6,R,drama
"Best Thief in the World, The",2004,93,NA,2.7,R,"drama, comedy"
"Best Two Years, The",2003,112,NA,7,PG,comedy
Betaville,2001,99,NA,5.2,PG-13,comedy
Better Luck Tomorrow,2002,98,250000,7.3,R,drama
Between Strangers,2002,95,NA,6.1,R,drama
Beyond Borders,2003,127,35000000,5.4,R,"drama, romance"
Beyond Re-Animator,2003,96,3000000,6.1,R,comedy
Beyond the City Limits,2001,91,NA,4.5,R,drama
Beyond the Gates of Splendor,2005,96,NA,8.9,PG-13,documentary
Beyond the Sea,2004,118,24000000,6.7,PG-13,drama
Big Bad Love,2001,111,NA,5.6,R,drama
"Big Bounce, The",2004,88,50000000,4.7,PG-13,comedy
"Big Empty, The",2003,94,NA,5.9,R,"drama, comedy"
Big Fat Liar,2002,88,15000000,5.5,PG,comedy
Big Fish,2003,125,70000000,8.1,PG-13,"drama, comedy"
Big Trouble,2002,85,40000000,6.4,PG-13,comedy
Bigger Than the Sky,2005,106,750000,7.3,PG-13,"drama, comedy, romance"
Biggie and Tupac,2002,108,NA,6.9,R,documentary
"Bike Squad, The",2002,79,NA,3,PG,comedy
Biker Boyz,2003,110,NA,4,PG-13,"action, drama"
Billabong Odyssey,2003,87,NA,5.8,PG,"action, documentary"
Bin-jip,2004,95,NA,8,R,"drama, romance"
Birth,2004,100,20000000,6,R,"drama, romance"
Birthday Girl,2001,93,13000000,6.1,R,"drama, comedy, romance"
Bizita Q,2001,84,NA,7.1,R,"drama, comedy"
Black Hawk Down,2001,142,90000000,7.6,R,"action, drama"
Black Knight,2001,95,50000000,4.1,PG-13,comedy
Black Point,2001,100,NA,5.1,R,"action, drama"
Blackball,2003,96,NA,5.1,R,"drama, comedy"
Blackwoods,2002,90,NA,5,R,drama
Blade II,2002,108,55000000,6.6,R,action
Blade: Trinity,2004,124,65000000,5.7,R,action
Blessed,2004,98,NA,4.6,R,drama
Blind Horizon,2003,99,5100000,5.5,R,drama
Blood Feast 2: All U Can Eat,2002,99,NA,4.9,R,comedy
Blood Work,2002,110,50000000,6.3,R,drama
Bloody Mallory,2002,94,NA,4.1,R,"action, comedy"
Bloody Sunday,2002,107,5000000,7.6,R,drama
Bloom,2003,113,NA,4.2,R,"drama, romance"
Blow,2001,124,30000000,7.1,R,drama
Blow Dry,2001,87,NA,6.1,R,"drama, comedy, romance"
Blue Car,2002,96,NA,7,R,drama
Blue Collar Comedy Tour: The Movie,2003,105,NA,7.6,PG-13,"comedy, documentary"
Blue Crush,2002,104,30000000,5.7,PG-13,"drama, romance"
"Blue Diner, The",2001,100,NA,5.8,PG-13,drama
Blue Hill Avenue,2001,120,1200000,6.6,R,drama
Blueberry,2004,124,NA,5.2,R,action
Boat Trip,2002,97,20000000,4.5,R,comedy
"Bobby Jones, Stroke of Genius",2004,120,NA,6.2,PG,drama
"Body, The",2001,109,NA,5.3,PG-13,drama
Boksuneun naui geot,2002,121,NA,7.6,R,"action, drama"
Bollywood/Hollywood,2002,105,NA,6.1,PG-13,"drama, comedy, romance"
Bom yeoreum gaeul gyeoul geurigo bom,2003,103,NA,8.2,R,drama
Bon voyage,2003,115,20000000,7.2,PG-13,"drama, comedy"
Boogeyman,2005,89,20000000,4.1,PG-13,drama
Book of Love,2004,83,NA,2.9,R,"drama, comedy"
Bookies,2003,88,NA,5.5,R,"drama, comedy"
Born Into Brothels: Calcutta's Red Light Kids,2004,85,NA,7.8,R,documentary
"Bourne Identity, The",2002,119,75000000,7.3,PG-13,"action, drama"
"Bourne Supremacy, The",2004,108,75000000,7.3,PG-13,"action, drama"
Bowling for Columbine,2002,120,4000000,8.5,R,"drama, comedy, documentary"
Boys On the Run,2001,97,NA,5.3,R,"action, romance"
"Boys of 2nd Street Park, The",2003,91,NA,7.2,R,documentary
"Bread, My Sweet, The",2001,105,600000,6.8,PG-13,"drama, romance"
Breakin' All the Rules,2004,85,NA,5,PG-13,"comedy, romance"
"Breed, The",2001,91,4000000,4.7,R,action
Briar Patch,2003,103,NA,2.5,R,"drama, romance"
Bride & Prejudice,2004,122,7000000,6.3,PG-13,"comedy, romance"
Bride of the Wind,2001,99,12000000,5.2,R,drama
Bridget Jones's Diary,2001,97,26000000,7,R,"comedy, romance"
Bridget Jones: The Edge of Reason,2004,108,70000000,5.7,R,"drama, comedy, romance"
Brigham City,2001,119,1000000,7.1,PG-13,drama
Bright Young Things,2003,105,NA,6.8,R,"drama, comedy"
Bringing Down the House,2003,105,35000000,5.6,PG-13,comedy
Brooklyn Babylon,2001,89,NA,5.6,R,drama
Brooklyn Bound,2004,90,70000,4.2,R,drama
Brown Sugar,2002,109,8000000,5.9,PG-13,"drama, comedy, romance"
Bruce Almighty,2003,101,81000000,6.4,PG-13,"comedy, romance"
Bubba Ho-tep,2002,92,1000000,7.5,R,comedy
Bubble Boy,2001,84,13000000,5.1,PG-13,"drama, comedy, romance"
Buck Naked Arson,2001,85,NA,6.5,R,"drama, comedy"
Buffalo Soldiers,2001,98,15000000,7,R,"drama, comedy"
Bug Off!,2001,84,NA,3.2,PG,comedy
Bulletproof Monk,2003,104,52000000,5.2,PG-13,"action, comedy"
Bully,2001,113,NA,7,R,drama
Bush's Brain,2004,80,NA,6.8,PG-13,documentary
"Business of Strangers, The",2001,84,NA,6.4,R,drama
"Butterfly Effect, The",2004,120,13000000,7.6,R,drama
Buying the Cow,2002,88,NA,5.6,R,comedy
CQ,2001,91,7000000,6.4,R,"drama, comedy"
Cachorro,2004,100,NA,7.4,R,"drama, comedy"
"Calcium Kid, The",2004,89,NA,5.4,R,comedy
Calendar Girls,2003,108,NA,7.1,PG-13,"drama, comedy"
Camp,2003,114,NA,6.6,PG-13,"drama, comedy"
Captain Corelli's Mandolin,2001,131,57000000,5.9,R,"drama, romance"
Carandiru,2003,147,6000000,7.7,R,drama
Carman: The Champion,2001,82,NA,4.6,PG-13,"action, drama"
Casa de los babys,2003,95,NA,6.7,R,drama
"Cat in the Hat, The",2003,82,109000000,3.2,PG,comedy
"Cat's Meow, The",2001,114,NA,6.5,PG-13,drama
Catch Me If You Can,2002,141,52000000,7.6,PG-13,drama
Catch That Kid,2004,91,18000000,4.5,PG,"action, comedy"
Cats & Dogs,2001,87,60000000,5.4,PG,comedy
Catwoman,2004,104,85000000,3.4,PG-13,action
Cavedweller,2004,101,NA,4.8,R,drama
"Caveman's Valentine, The",2001,105,NA,6,R,drama
Cellular,2004,94,25000000,6.4,PG-13,action
Celsius 41.11: The Temperature at Which the Brain... Begins to Die,2004,72,NA,3.8,R,documentary
Century Hotel,2001,95,NA,6.7,R,"drama, romance"
Cero y van cuatro,2004,92,NA,7.3,R,comedy
Changing Lanes,2002,99,45000000,6.6,R,drama
Charlie,2004,94,5000000,5,R,drama
Charlie's Angels: Full Throttle,2003,107,120000000,5,PG-13,"action, comedy"
Charlotte Gray,2001,121,NA,6.3,PG-13,"drama, romance"
Charlotte Sometimes,2002,85,80000,4.6,R,drama
Charly,2002,103,950000,5.5,PG,"drama, comedy, romance"
Chasing Destiny,2001,91,NA,4.9,PG-13,"drama, comedy, romance"
Chasing Holden,2001,101,NA,5,R,drama
Chasing Liberty,2004,111,23000000,5.7,PG-13,"comedy, romance"
Chasing Papi,2003,81,NA,4.2,PG,comedy
Cheaper by the Dozen,2003,98,40000000,5.8,PG,"drama, comedy"
Cheats,2002,90,NA,5.9,PG-13,"comedy, romance"
Cheerleader Ninjas,2002,96,NA,3.1,R,"action, comedy"
Chek law dak gung,2002,90,NA,5.4,R,"action, romance"
Chelsea Walls,2001,109,NA,4.3,R,drama
Cherish,2002,99,1500000,6.5,R,"drama, comedy"
Chicago,2002,113,45000000,7.5,PG-13,"drama, comedy"
Chik yeung tin sai,2002,106,NA,6.8,R,"action, comedy, romance"
Children On Their Birthdays,2002,102,10000000,6,PG,drama
Chin gei bin,2003,102,NA,5.8,R,"action, comedy"
Chooch,2003,81,NA,4,R,"comedy, romance"
Chopin. Pragnienie milosci,2002,134,3500000,4,R,"drama, romance"
Chopper,2001,3,NA,6.4,R,short
"Choristes, Les",2004,96,NA,7.7,PG-13,"drama, romance"
Christmas Carol: The Movie,2001,81,NA,4.9,PG,animation
Christmas with the Kranks,2004,98,60000000,4.5,PG,comedy
"Chronicles of Riddick, The",2004,135,110000000,6.2,PG-13,action
Chrystal,2004,106,NA,3.8,R,drama
Chuen jik sat sau,2001,102,NA,6.8,R,action
Chump Change,2004,87,NA,5,R,"comedy, romance"
Ciao America,2002,100,5000000,4.8,R,"drama, comedy, romance"
Cidade de Deus,2002,135,3300000,8.7,R,drama
"Cinderella Story, A",2004,95,20000000,4.9,PG,"comedy, romance"
"Circuit, The",2002,91,NA,2.8,R,action
City by the Sea,2002,108,60000000,6.3,R,drama
Civil Brand,2002,95,500000,4.1,R,drama
Claustrophobia,2003,79,114000,4.2,R,comedy
"Climb, The",2002,98,2500000,5.2,PG,"action, drama"
Close Enough to Touch,2002,87,NA,3.7,R,drama
Club Dread,2004,119,9000000,5.2,R,comedy
Coach Carter,2005,136,30000000,6.6,PG-13,drama
Coastlines,2002,119,NA,5.7,R,drama
"Cockettes, The",2002,100,300000,6.6,R,documentary
Cockfight,2001,45,NA,7.9,R,documentary
Code 46,2003,92,7500000,6.4,R,"drama, romance"
"Code Conspiracy, The",2001,97,NA,6.1,PG-13,action
Coffee and Cigarettes,2003,95,NA,6.8,R,"drama, comedy"
Cold Creek Manor,2003,118,NA,4.8,R,drama
Cold Mountain,2003,152,83000000,7.4,R,"drama, romance"
Collateral,2004,120,65000000,7.7,R,drama
Collateral Damage,2002,108,85000000,5.2,R,action
Comme une image,2004,110,NA,7.3,PG-13,"drama, comedy, romance"
"Company, The",2003,112,15000000,6.2,PG-13,drama
Confessions of a Dangerous Mind,2002,113,29000000,7.1,R,drama
Confessions of a Teenage Drama Queen,2004,89,15000000,4.4,PG,comedy
Confidence,2003,97,15000000,6.8,R,drama
Confidences trop intimes,2004,104,NA,7,R,drama
Connie and Carla,2004,98,NA,6.1,PG-13,comedy
Controlled Chaos,2003,93,NA,5.1,R,"drama, comedy"
Cookers,2001,96,NA,8.6,R,drama
"Cookout, The",2004,97,NA,3.2,PG-13,comedy
"Cooler, The",2003,101,NA,7,R,"drama, comedy, romance"
"Core, The",2003,135,74000000,5.4,PG-13,"action, drama"
Corky Romano,2001,86,11000000,4.6,PG-13,comedy
Coronado,2003,88,4700000,4.5,PG-13,"action, comedy"
"Count of Monte Cristo, The",2002,134,35000000,7.4,PG-13,"action, drama"
Country of My Skull,2004,104,12000000,5.1,R,drama
Cowboy Up,2001,105,NA,5.3,PG-13,"drama, romance"
Cradle 2 the Grave,2003,101,25000000,5.3,R,action
Crash,2004,113,6500000,8.3,R,drama
Crazy as Hell,2002,113,NA,5.5,R,drama
Crazy/Beautiful,2001,135,14000000,6.5,PG-13,"drama, romance"
Crime Spree,2003,98,10000000,6.3,R,comedy
"Crimen del padre Amaro, El",2002,118,1800000,7,R,"drama, romance"
Criminal,2004,87,NA,6.4,R,"drama, comedy"
Crocodile Dundee in Los Angeles,2001,92,25000000,4.7,PG,"drama, comedy"
"Crocodile Hunter: Collision Course, The",2002,90,13000000,5.3,PG,comedy
Crossroads,2002,93,12000000,3.1,PG-13,"drama, comedy, romance"
Cube Zero,2004,97,NA,5.7,R,drama
"Curse of the Jade Scorpion, The",2001,103,26000000,6.8,PG-13,"drama, comedy"
Cypher,2002,95,7500000,7.2,R,action
D-Tox,2002,92,55000000,4.7,R,drama
D.E.B.S.,2004,91,3500000,6,PG-13,"action, comedy"
Da wan,2001,100,NA,6,PG,comedy
Daddy Day Care,2003,92,60000000,5.7,PG,comedy
Daddy and Them,2001,101,4000000,5,R,"drama, comedy"
Dahmer,2002,101,NA,5.4,R,drama
Dak miu mai shing,2001,87,NA,5.8,PG-13,"action, comedy"
Dallas 362,2003,100,NA,6.4,R,drama
"Dancer Upstairs, The",2002,133,NA,7,R,drama
"Dangerous Lives of Altar Boys, The",2002,105,12000000,7.2,R,drama
Danny Deckchair,2003,90,NA,6.5,PG-13,comedy
Dare mo shiranai,2004,141,NA,8.2,PG-13,drama
Daredevil,2003,133,75000000,5.7,R,action
Dark Blue,2002,118,15000000,6.6,R,"action, drama"
Dark Descent,2002,96,NA,2.9,R,action
Darkness Falling,2002,85,NA,3.9,R,drama
Dawn of the Dead,2004,109,28000000,7.4,R,"action, drama"
"Day After Tomorrow, The",2004,124,125000000,6.3,PG-13,"action, drama"
"Day Without a Mexican, A",2004,100,1500000,5,R,"drama, comedy"
Day of Defense,2003,102,500000,3,PG,drama
"Day with the Meatball, A",2002,2,NA,5.7,PG,"comedy, short"
De-Lovely,2004,125,NA,6.7,PG-13,"drama, romance"
Dead & Breakfast,2004,88,NA,5.8,R,comedy
Dear Frankie,2004,105,NA,8.4,PG-13,drama
Death to Smoochy,2002,109,55000000,6.3,R,comedy
Deathwatch,2002,94,NA,5.6,R,drama
"Decade Under the Influence, A",2003,108,NA,7,R,documentary
Decoys,2004,95,5000000,4.2,R,comedy
"Deep End, The",2001,101,3000000,6.8,R,drama
"Defender, The",2004,90,6000000,6.3,R,action
Dei seung chui keung,2001,89,NA,4.9,PG-13,action
Deliver Us from Eva,2003,105,NA,5.8,R,"comedy, romance"
Delivering Milo,2001,94,NA,4.9,PG,comedy
Demonlover,2002,117,NA,5.6,R,drama
Derailed,2002,89,18000000,3.4,R,action
Destino,2003,7,1500000,7.8,PG,"animation, short"
Detention,2003,98,10000000,4.1,R,"action, drama"
Detonator,2003,92,NA,4,R,"action, drama"
Deuces Wild,2002,100,10000000,5.3,R,"action, drama"
"Deviants, The",2004,80,NA,5.2,R,comedy
Devil's Harvest,2003,92,NA,3.7,R,drama
Devil's Pond,2003,92,5000000,5.6,R,drama
Devious Beings,2002,97,NA,3.5,R,action
DiG!,2004,107,NA,8,R,documentary
Diarios de motocicleta,2004,128,NA,8,R,drama
Diary of a City Priest,2001,77,NA,6.1,PG-13,drama
Diary of a Mad Black Woman,2005,116,5500000,3.9,PG-13,"drama, comedy"
Diary of a Sex Addict,2001,93,NA,2.9,R,drama
Dickie Roberts: Former Child Star,2003,98,17000000,5.5,PG-13,comedy
Die Another Day,2002,133,142000000,6.4,PG-13,action
"Die, Mommie, Die",2003,90,NA,6.2,R,comedy
"Different Loyalty, A",2004,96,13000000,5,R,"drama, romance"
Direct Action,2004,97,NA,5.3,R,action
Dirt,2001,102,NA,5.5,R,comedy
Dirty Dancing: Havana Nights,2004,86,NA,5.4,PG-13,"drama, romance"
Dirty Deeds,2002,97,NA,6.2,R,comedy
Dirty Pretty Things,2002,97,10000000,7.6,R,drama
"Dirty Shame, A",2004,89,NA,6.1,R,comedy
Disaster,2001,90,NA,2.6,R,action
Divine Secrets of the Ya-Ya Sisterhood,2002,116,27000000,5.5,PG-13,"drama, comedy"
"Divorce, Le",2003,117,NA,4.9,PG-13,"drama, comedy, romance"
Dodgeball: A True Underdog Story,2004,92,20000000,6.6,PG-13,comedy
Dog Gone Love,2004,89,NA,5.8,R,"comedy, romance"
Dog Soldiers,2002,104,NA,6.8,R,action
Dogtown and Z-Boys,2001,91,NA,7.4,PG-13,documentary
Dogville,2003,135,NA,8,R,drama
Dom durakov,2002,104,2500000,6.8,R,drama
Domestic Disturbance,2001,91,53000000,5.4,PG-13,drama
Don't Let Go,2002,87,NA,7.9,R,drama
Don't Say a Word,2001,113,50000000,6.2,R,drama
Donnie Darko,2001,133,4500000,8.3,R,drama
"Door in the Floor, The",2004,111,NA,6.9,R,drama
Dopamine,2003,85,NA,5.2,R,"drama, comedy, romance"
Dot the I,2003,92,NA,6.7,R,"drama, romance"
Double Bang,2001,104,NA,5.2,R,action
Double Deception,2001,87,NA,4.3,R,action
Double Take,2001,91,24000000,4.8,PG-13,"action, comedy"
Double Whammy,2001,100,4000000,5.6,R,"drama, comedy"
Down Time,2001,90,20000,3.5,R,drama
Down and Derby,2005,93,NA,5.8,PG,comedy
Down and Out with the Dolls,2001,88,1200000,6,R,comedy
Down to Earth,2001,87,30000000,5.1,PG-13,"comedy, romance"
Down with Love,2003,101,NA,6.5,PG-13,"comedy, romance"
Dr. Dolittle 2,2001,87,72000000,5.1,PG,comedy
Dragonfly,2002,104,60000000,5.8,PG-13,drama
Dream Warrior,2004,95,NA,2.7,R,action
"Dreamers, The",2003,112,NA,7,R,drama
Driven,2001,116,72000000,4.4,PG-13,"action, drama"
Drumline,2002,118,20000000,5.3,PG-13,"drama, comedy, romance"
Duct Tape Forever,2002,90,NA,5.7,PG,comedy
Duma,2005,100,NA,8.4,PG,drama
Dumb and Dumberer: When Harry Met Lloyd,2003,85,19000000,3.3,PG-13,comedy
Dummy,2002,90,NA,6.8,R,"drama, comedy, romance"
Duplex,2003,89,40000000,5.7,PG-13,comedy
Dust to Glory,2005,97,NA,7.6,PG,"action, documentary"
DysFunktional Family,2003,89,3000000,5.6,R,"comedy, documentary"
Easy,2003,99,NA,4.2,R,"drama, comedy, romance"
Easy Six,2003,90,NA,5,R,"drama, comedy"
Edge of Madness,2002,99,NA,6.4,R,drama
Edges of the Lord,2001,95,7500000,7,R,drama
Eight Crazy Nights,2002,76,NA,4.5,PG-13,"comedy, animation"
Eight Legged Freaks,2002,99,30000000,5.5,PG-13,"action, comedy"
Elektra,2005,96,43000000,4.9,PG-13,action
Elephant,2003,81,3000000,7.3,R,drama
Elf,2003,95,33000000,7,PG,comedy
Ella Enchanted,2004,96,35000000,6.5,PG,"comedy, romance"
Elling,2001,89,NA,7.6,R,"drama, comedy"
Elsker dig for evigt,2002,113,NA,7.7,R,drama
Elvira's Haunted Hills,2001,90,1500000,5.2,PG-13,comedy
Emile,2003,92,NA,6.1,R,drama
Emmett's Mark,2002,104,4500000,6.2,R,drama
Emotional Backgammon,2003,93,NA,1.2,R,drama
"Emperor's Club, The",2002,109,12500000,6.7,PG-13,drama
"Emperor's New Clothes, The",2001,107,NA,7.1,PG,comedy
Empire,2002,90,3500000,6,R,"action, drama"
"Emploi du temps, L'",2001,134,NA,7.2,PG-13,drama
Employee of the Month,2004,97,NA,5.9,R,"drama, comedy"
End of the Law,2003,88,NA,3.3,R,action
Enduring Love,2004,101,NA,6.5,R,drama
Enemy at the Gates,2001,131,70000000,7.3,R,"action, drama, romance"
Enigma,2001,119,NA,6.7,R,"drama, romance"
Enough,2002,115,38000000,4.9,PG-13,drama
Envy,2004,99,40000000,4.3,PG-13,comedy
Equilibrium,2002,107,20000000,7.6,R,action
